Symbol
NIFTY 100.NS
HDFCBANK.NS
RELIANCE.NS
ICICIBANK.NS
SBIN.NS
BHARTIARTL.NS
INFY.NS
ETERNAL.NS
LT.NS
TCS.NS
AXISBANK.NS
VEDL.NS
M&M.NS
ADANIPOWER.NS
INDIGO.NS
HCLTECH.NS
BEL.NS
TMCV.NS
ADANIGREEN.NS
KOTAKBANK.NS
BAJFINANCE.NS
HINDALCO.NS
MAZDOCK.NS
DMART.NS
SUNPHARMA.NS
TITAN.NS
SHRIRAMFIN.NS
ONGC.NS
NTPC.NS
HAL.NS
MARUTI.NS
TATASTEEL.NS
ITC.NS
POWERGRID.NS
EICHERMOT.NS
ADANIPORTS.NS
DRREDDY.NS
JIOFIN.NS
ASIANPAINT.NS
DLF.NS
TRENT.NS
CIPLA.NS
BAJAJFINSV.NS
CANBK.NS
BPCL.NS
BANKBARODA.NS
TATAPOWER.NS
PFC.NS
TECHM.NS
ULTRACEMCO.NS
LODHA.NS
ADANIENT.NS
HDFCLIFE.NS
TORNTPHARM.NS
WIPRO.NS
CUMMINSIND.NS
TVSMOTOR.NS
IOC.NS
COALINDIA.NS
CHOLAFIN.NS
DIVISLAB.NS
LTM.NS
HINDUNILVR.NS
MOTHERSON.NS
TMPV.NS
BOSCHLTD.NS
TATACONSUM.NS
SBILIFE.NS
HDFCAMC.NS
RECLTD.NS
SOLARINDS.NS
JSWSTEEL.NS
UNIONBANK.NS
APOLLOHOSP.NS
BRITANNIA.NS
PNB.NS
HINDZINC.NS
BAJAJ-AUTO.NS
INDHOTEL.NS
GAIL.NS
MUTHOOTFIN.NS
HYUNDAI.NS
MAXHEALTH.NS
IRFC.NS
GODREJCP.NS
JINDALSTEL.NS
ABB.NS
ADANIENSOL.NS
NESTLEIND.NS
VBL.NS
CGPOWER.NS
GRASIM.NS
UNITDSPR.NS
PIDILITIND.NS
ZYDUSLIFE.NS
AMBUJACEM.NS
SIEMENS.NS
ENRIN.NS
SHREECEM.NS
BAJAJHLDNG.NS
TATACAP.NS
